Fecha,Obrador Kiteni,PS#1,KP-7+400,KP 018+000,KP 030+000,KP 040+000,KP 043+600,KP 046+100,KP 050+000,KP 057+000,KP 064+000,KP 071+000,KP 082+000,KP 090+000,KP 095+000,PS#2,KP 142+000,KP-181+900,KP 184+039,PS#3,PS#4/XV10007,Mes,Ruptura
2021-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05,0
2021-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.6,6.2,12.2,16.2,40.0,0.0,0.0,0.0,0.0,2021-05,0
2021-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2021-05,0
2021-05-13,0.0,0.0,1.5,3.6,16.0,70.0,68.0,56.3,8.0,75.0,68.0,19.1,6.0,2.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05,0
2021-05-14,0.0,0.0,0.0,0.0,0.6000000000000001,0.7,2.5,5.2,15.0,25.0,0.0,0.0,0.8,0.0,0.0,0.8,2.0,0.0,0.0,0.0,0.0,2021-05,0
2021-05-15,0.0,0.0,0.0,0.0,0.0,2.1,5.2,2.5999999999999996,4.0,2.0,0.0,0.0,0.4,0.0,0.0,0.0,4.4,0.0,0.0,3.0,2.0,2021-05,0
2021-05-16,0.0,2.8,2.0,2.6,0.2,2.5,2.7,0.0,5.0,3.3,0.0,0.0,0.2,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,2021-05,0
2021-05-17,0.0,1.5999999999999999,12.7,20.2,20.0,10.5,4.0,0.2,0.0,0.0,0.0,0.0,0.2,4.1,4.0,1.8,6.2,0.0,0.0,0.0,0.0,2021-05,0
2021-05-18,0.0,18.2,10.8,60.0,30.0,22.5,6.0,12.600000000000001,19.0,75.0,12.0,18.0,14.799999999999999,4.3,6.0,1.6,0.0,0.0,0.0,0.0,0.0,2021-05,0
2021-05-19,0.0,4.8,0.1,2.2,0.4,0.1,0.0,3.5999999999999996,15.0,10.3,0.0,0.0,0.2,1.2,0.7,3.2,0.4,0.0,0.0,1.0,0.0,2021-05,0
2021-05-20,0.0,0.0,0.0,5.2,10.2,24.0,10.8,13.5,8.0,10.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05,0
2021-05-21,0.0,3.8,10.8,1.8,0.0,0.0,2.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05,0
